run	V(vref)
5.800000000000000e+01	1.213543e+00
5.900000000000000e+01	1.203265e+00
6.000000000000000e+01	1.211514e+00
6.100000000000000e+01	1.223526e+00
6.200000000000000e+01	1.191721e+00
6.300000000000000e+01	1.191813e+00
6.400000000000000e+01	1.210468e+00
6.500000000000000e+01	1.194501e+00
6.600000000000000e+01	1.192237e+00
6.700000000000000e+01	1.240014e+00
6.800000000000000e+01	1.218105e+00
6.900000000000000e+01	1.232052e+00
7.000000000000000e+01	1.187178e+00
7.100000000000000e+01	1.204843e+00
7.200000000000000e+01	1.220375e+00
7.300000000000000e+01	1.192418e+00
7.400000000000000e+01	1.236828e+00
7.500000000000000e+01	1.174816e+00
7.600000000000000e+01	1.258552e+00
7.700000000000000e+01	1.218188e+00
7.800000000000000e+01	1.179521e+00
7.900000000000000e+01	1.187228e+00
8.000000000000000e+01	1.217654e+00
8.100000000000000e+01	1.201432e+00
8.200000000000000e+01	1.239151e+00
8.300000000000000e+01	1.195197e+00
8.400000000000000e+01	1.214607e+00
8.500000000000000e+01	1.226635e+00
8.600000000000000e+01	1.199383e+00
8.700000000000000e+01	1.223582e+00
8.800000000000000e+01	1.207662e+00
8.900000000000000e+01	1.239986e+00
9.000000000000000e+01	1.217005e+00
9.100000000000000e+01	1.216582e+00
9.200000000000000e+01	1.206376e+00
9.300000000000000e+01	1.206163e+00
9.400000000000000e+01	1.212456e+00
9.500000000000000e+01	1.243839e+00
9.600000000000000e+01	1.190154e+00
9.700000000000000e+01	1.168294e+00
9.800000000000000e+01	1.207489e+00
9.900000000000000e+01	1.226612e+00
1.000000000000000e+02	1.231804e+00
1.010000000000000e+02	1.242961e+00
1.020000000000000e+02	1.218399e+00
1.030000000000000e+02	1.203861e+00
1.040000000000000e+02	1.200088e+00
1.050000000000000e+02	1.229723e+00
1.060000000000000e+02	1.228269e+00
1.070000000000000e+02	1.203414e+00
1.080000000000000e+02	1.227444e+00
1.090000000000000e+02	1.195893e+00
1.100000000000000e+02	1.260165e+00
1.110000000000000e+02	1.208959e+00
1.120000000000000e+02	1.224219e+00
1.130000000000000e+02	1.188865e+00
1.140000000000000e+02	1.211660e+00
1.150000000000000e+02	1.237586e+00
1.160000000000000e+02	1.251963e+00
1.170000000000000e+02	1.238707e+00
1.180000000000000e+02	1.189991e+00
1.190000000000000e+02	1.231781e+00
1.200000000000000e+02	1.222433e+00
1.210000000000000e+02	1.181653e+00
1.220000000000000e+02	1.231135e+00
1.230000000000000e+02	1.223075e+00
1.240000000000000e+02	1.234852e+00
1.250000000000000e+02	1.221485e+00
1.260000000000000e+02	1.205076e+00
1.270000000000000e+02	1.203221e+00
1.280000000000000e+02	1.216086e+00
1.290000000000000e+02	1.189064e+00
1.300000000000000e+02	1.208309e+00
1.310000000000000e+02	1.206079e+00
1.320000000000000e+02	1.199625e+00
1.330000000000000e+02	1.211506e+00
1.340000000000000e+02	1.194382e+00
1.350000000000000e+02	1.204041e+00
1.360000000000000e+02	1.227564e+00
1.370000000000000e+02	1.180270e+00
1.380000000000000e+02	1.254232e+00
1.390000000000000e+02	1.202601e+00
1.400000000000000e+02	1.206548e+00
1.410000000000000e+02	1.214006e+00
1.420000000000000e+02	1.180246e+00
1.430000000000000e+02	1.222210e+00
1.440000000000000e+02	1.199122e+00
1.450000000000000e+02	1.196148e+00
1.460000000000000e+02	1.235633e+00
1.470000000000000e+02	1.199312e+00
1.480000000000000e+02	1.199305e+00
1.490000000000000e+02	1.213425e+00
1.500000000000000e+02	1.226925e+00
1.510000000000000e+02	1.186609e+00
1.520000000000000e+02	1.230057e+00
1.530000000000000e+02	1.240404e+00
1.540000000000000e+02	1.203969e+00
1.550000000000000e+02	1.230418e+00
1.560000000000000e+02	1.201069e+00
1.570000000000000e+02	1.189375e+00
1.580000000000000e+02	1.207589e+00
1.590000000000000e+02	1.192976e+00
1.600000000000000e+02	1.254703e+00
1.610000000000000e+02	1.206699e+00
1.620000000000000e+02	1.207050e+00
1.630000000000000e+02	1.196930e+00
1.640000000000000e+02	1.218450e+00
1.650000000000000e+02	1.197634e+00
1.660000000000000e+02	1.202932e+00
1.670000000000000e+02	1.210077e+00
1.680000000000000e+02	1.198169e+00
1.690000000000000e+02	1.176756e+00
1.700000000000000e+02	1.188341e+00
1.710000000000000e+02	1.221608e+00
1.720000000000000e+02	1.220388e+00
1.730000000000000e+02	1.212202e+00
1.740000000000000e+02	1.212813e+00
1.750000000000000e+02	1.181860e+00
1.760000000000000e+02	1.196506e+00
1.770000000000000e+02	1.217019e+00
1.780000000000000e+02	1.184662e+00
1.790000000000000e+02	1.222775e+00
1.800000000000000e+02	1.200434e+00
1.810000000000000e+02	1.236251e+00
1.820000000000000e+02	1.168414e+00
1.830000000000000e+02	1.226677e+00
1.840000000000000e+02	1.190207e+00
1.850000000000000e+02	1.224194e+00
1.860000000000000e+02	1.199670e+00
1.870000000000000e+02	1.231838e+00
1.880000000000000e+02	1.186809e+00
1.890000000000000e+02	1.205706e+00
1.900000000000000e+02	1.241577e+00
1.910000000000000e+02	1.208329e+00
1.920000000000000e+02	1.206875e+00
1.930000000000000e+02	1.202030e+00
1.940000000000000e+02	1.219151e+00
1.950000000000000e+02	1.204078e+00
1.960000000000000e+02	1.230859e+00
1.970000000000000e+02	1.233231e+00
1.980000000000000e+02	1.170850e+00
1.990000000000000e+02	1.194729e+00
2.000000000000000e+02	1.251653e+00
2.010000000000000e+02	1.220446e+00
2.020000000000000e+02	1.208908e+00
2.030000000000000e+02	1.192860e+00
2.040000000000000e+02	1.235740e+00
2.050000000000000e+02	1.219760e+00
2.060000000000000e+02	1.214072e+00
2.070000000000000e+02	1.199343e+00
2.080000000000000e+02	1.218566e+00
2.090000000000000e+02	1.212288e+00
2.100000000000000e+02	1.189713e+00
2.110000000000000e+02	1.230247e+00
2.120000000000000e+02	1.216817e+00
2.130000000000000e+02	1.198090e+00
2.140000000000000e+02	1.211437e+00
2.150000000000000e+02	1.183886e+00
2.160000000000000e+02	1.158165e+00
2.170000000000000e+02	1.204890e+00
2.180000000000000e+02	1.189691e+00
2.190000000000000e+02	1.179450e+00
2.200000000000000e+02	1.192121e+00
2.210000000000000e+02	1.197698e+00
2.220000000000000e+02	1.202465e+00
2.230000000000000e+02	1.201565e+00
2.240000000000000e+02	1.203970e+00
2.250000000000000e+02	1.215761e+00
2.260000000000000e+02	1.240948e+00
2.270000000000000e+02	1.197026e+00
2.280000000000000e+02	1.232574e+00
2.290000000000000e+02	1.213217e+00
2.300000000000000e+02	1.181393e+00
2.310000000000000e+02	1.227407e+00
2.320000000000000e+02	1.182555e+00
2.330000000000000e+02	1.194383e+00
2.340000000000000e+02	1.220412e+00
2.350000000000000e+02	1.249396e+00
2.360000000000000e+02	1.222737e+00
2.370000000000000e+02	1.184032e+00
2.380000000000000e+02	1.199038e+00
2.390000000000000e+02	1.206649e+00
2.400000000000000e+02	1.205560e+00
2.410000000000000e+02	1.190902e+00
2.420000000000000e+02	1.175798e+00
2.430000000000000e+02	1.206243e+00
2.440000000000000e+02	1.231558e+00
2.450000000000000e+02	1.201312e+00
2.460000000000000e+02	1.169799e+00
2.470000000000000e+02	1.200824e+00
2.480000000000000e+02	1.223077e+00
2.490000000000000e+02	1.199215e+00
2.500000000000000e+02	1.233023e+00
2.510000000000000e+02	1.167243e+00
2.520000000000000e+02	1.200795e+00
2.530000000000000e+02	1.212955e+00
2.540000000000000e+02	1.228084e+00
2.550000000000000e+02	1.196242e+00
2.560000000000000e+02	1.219000e+00
2.570000000000000e+02	1.203708e+00
2.580000000000000e+02	1.238110e+00
2.590000000000000e+02	1.175477e+00
2.600000000000000e+02	1.184816e+00
2.610000000000000e+02	1.245701e+00
2.620000000000000e+02	1.202304e+00
2.630000000000000e+02	1.211330e+00
2.640000000000000e+02	1.228530e+00
2.650000000000000e+02	1.191392e+00
2.660000000000000e+02	1.168231e+00
2.670000000000000e+02	1.201095e+00
2.680000000000000e+02	1.215060e+00
2.690000000000000e+02	1.224892e+00
2.700000000000000e+02	1.206605e+00
2.710000000000000e+02	1.249983e+00
2.720000000000000e+02	1.203332e+00
2.730000000000000e+02	1.212856e+00
2.740000000000000e+02	1.161888e+00
2.750000000000000e+02	1.190302e+00
2.760000000000000e+02	1.197074e+00
2.770000000000000e+02	1.236974e+00
